retriever,fault_type,metric_name,sample_count,healthy_mean,fault_mean,mean_delta,ci_95_lower,ci_95_upper,standardized_effect,rank_biserial_effect,expected_direction,direction_match,skipped_count,error_count
bm25,chunk_merge,chunking.chunk_integrity,20,1.0,1.0,0.0,0.0,0.0,,0.0,decrease,False,0,0
bm25,chunk_truncation,chunking.chunk_integrity,20,1.0,0.8,-0.19999999999999996,-0.19999999999999996,-0.19999999999999996,,-1.0,decrease,True,0,0
bm25,contradictory_answer,generation.faithfulness,20,0.98,0.05,-0.93,-1.0,-0.81,-4.03585624040554,-1.0,decrease,True,0,0
bm25,corrupted_query,generation.answer_relevance,20,0.29394501740089973,0.2881845768610475,-0.005760440539852306,-0.03067821067821068,0.018773422247686924,-0.10077551761265782,-0.21428571428571427,decrease,True,0,0
bm25,distractor_context,context.noise_ratio,20,0.595,0.6633333333333333,0.06833333333333332,0.06666666666666665,0.07166666666666666,9.406045088693032,1.0,increase,True,0,0
bm25,distractor_context,generation.faithfulness,19,0.9228070175438596,0.9228070175438596,0.0,0.0,0.0,,0.0,decrease,False,1,0
bm25,irrelevant_document,context.noise_ratio,20,0.6,0.67,0.07000000000000002,0.03000000000000001,0.11000000000000004,0.7337993857053428,1.0,increase,True,0,0
bm25,irrelevant_document,retrieval.hit_at_k,20,1.0,1.0,0.0,0.0,0.0,,0.0,decrease,False,0,0
bm25,irrelevant_document,retrieval.mrr,20,0.9041666666666667,0.7766666666666666,-0.1275,-0.2375,-0.025,-0.54934064834945,-1.0,decrease,True,0,0
bm25,irrelevant_document,retrieval.precision_at_k,20,0.4,0.33,-0.07,-0.11,-0.030000000000000002,-0.7337993857053429,-1.0,decrease,True,0,0
bm25,irrelevant_document,retrieval.recall_at_k,20,1.0,0.825,-0.175,-0.275,-0.075,-0.7337993857053428,-1.0,decrease,True,0,0
bm25,missing_evidence,context.evidence_coverage,20,1.0,0.0,-1.0,-1.0,-1.0,,-1.0,decrease,True,0,0
bm25,missing_evidence,context.noise_ratio,19,0.6,1.0,0.4,0.4,0.4,,1.0,increase,True,1,0
bm25,missing_evidence,retrieval.hit_at_k,20,1.0,0.0,-1.0,-1.0,-1.0,,-1.0,decrease,True,0,0
bm25,missing_evidence,retrieval.mrr,20,0.8625,0.0,-0.8625,-0.95,-0.75,-3.544291928868848,-1.0,decrease,True,0,0
bm25,missing_evidence,retrieval.precision_at_k,19,0.4,0.0,-0.4,-0.4,-0.4,,-1.0,decrease,True,0,1
bm25,missing_evidence,retrieval.recall_at_k,20,1.0,0.0,-1.0,-1.0,-1.0,,-1.0,decrease,True,0,0
bm25,out_of_scope,generation.answer_relevance,20,0.2662232620320856,0.0,-0.2662232620320856,-0.4282438168449198,-0.11602573529411767,-0.7377756959378353,-1.0,decrease,True,0,0
bm25,unsupported_answer,generation.faithfulness,20,0.8941666666666667,0.0,-0.8941666666666667,-0.99,-0.7666666666666667,-3.476681847479203,-1.0,decrease,True,0,0
dense,chunk_merge,chunking.chunk_integrity,20,1.0,1.0,0.0,0.0,0.0,,0.0,decrease,False,0,0
dense,chunk_truncation,chunking.chunk_integrity,20,1.0,0.8,-0.19999999999999996,-0.19999999999999996,-0.19999999999999996,,-1.0,decrease,True,0,0
dense,contradictory_answer,generation.faithfulness,20,0.9483333333333334,0.0,-0.9483333333333334,-1.0,-0.8866666666666667,-7.192167456843085,-1.0,decrease,True,0,0
dense,corrupted_query,generation.answer_relevance,20,0.36281801531801533,0.3074320124320124,-0.0553860028860029,-0.110488455988456,0.003842622655122648,-0.43272287876328364,-0.6444444444444445,decrease,True,0,0
dense,distractor_context,context.noise_ratio,20,0.6,0.6666666666666666,0.06666666666666665,0.06666666666666665,0.06666666666666665,,1.0,increase,True,0,0
dense,distractor_context,generation.faithfulness,20,0.9299999999999999,0.9299999999999999,0.0,0.0,0.0,,0.0,decrease,False,0,0
dense,irrelevant_document,context.noise_ratio,20,0.6,0.68,0.08000000000000003,0.040000000000000015,0.12000000000000004,0.816496580927726,1.0,increase,True,0,0
dense,irrelevant_document,retrieval.hit_at_k,20,1.0,1.0,0.0,0.0,0.0,,0.0,decrease,False,0,0
dense,irrelevant_document,retrieval.mrr,20,0.9166666666666666,0.7641666666666667,-0.15250000000000002,-0.2758333333333334,-0.0375,-0.5530467933896273,-1.0,decrease,True,0,0
dense,irrelevant_document,retrieval.precision_at_k,20,0.4,0.32,-0.08,-0.12000000000000001,-0.04,-0.816496580927726,-1.0,decrease,True,0,0
dense,irrelevant_document,retrieval.recall_at_k,20,1.0,0.8,-0.2,-0.3,-0.1,-0.8164965809277261,-1.0,decrease,True,0,0
dense,missing_evidence,context.evidence_coverage,20,1.0,0.0,-1.0,-1.0,-1.0,,-1.0,decrease,True,0,0
dense,missing_evidence,context.noise_ratio,19,0.6,1.0,0.4,0.4,0.4,,1.0,increase,True,1,0
dense,missing_evidence,retrieval.hit_at_k,20,1.0,0.0,-1.0,-1.0,-1.0,,-1.0,decrease,True,0,0
dense,missing_evidence,retrieval.mrr,20,0.8333333333333334,0.0,-0.8333333333333334,-0.9416666666666667,-0.7166666666666667,-3.2274861218395148,-1.0,decrease,True,0,0
dense,missing_evidence,retrieval.precision_at_k,19,0.4,0.0,-0.4,-0.4,-0.4,,-1.0,decrease,True,0,1
dense,missing_evidence,retrieval.recall_at_k,20,1.0,0.0,-1.0,-1.0,-1.0,,-1.0,decrease,True,0,0
dense,out_of_scope,generation.answer_relevance,20,0.26772634228516584,0.0,-0.26772634228516584,-0.42165534465534465,-0.13076324288456642,-0.8110135640055808,-1.0,decrease,True,0,0
dense,unsupported_answer,generation.faithfulness,19,0.9263157894736842,0.0,-0.9263157894736842,-1.0,-0.8473684210526315,-5.410904064731842,-1.0,decrease,True,1,0
